Time [s], Analyzer Name, Decoded Protocol Result
1.010195500000000,I2C,Setup Write to ['184'] + NAK
1.015994500000000,I2C,Setup Write to ['184'] + ACK
1.016172500000000,I2C,'3' + ACK
1.016342000000000,I2C,'0' + ACK
1.016511000000000,I2C,'4' + ACK
1.018795000000000,I2C,Setup Read to ['185'] + ACK
1.018987000000000,I2C,'3' + ACK
1.019158500000000,I2C,'4' + ACK
1.019330500000000,I2C,'2' + ACK
1.019502000000000,I2C,2 + ACK
1.019674000000000,I2C,'0' + ACK
1.019845500000000,I2C,'255' + ACK
1.020017500000000,I2C,'17' + ACK
1.020193500000000,I2C,'223' + NAK
1.021485500000000,I2C,Setup Write to ['184'] + ACK
1.021668000000000,I2C,'0' + ACK
1.021912000000000,I2C,Setup Write to ['184'] + ACK
1.022453000000000,I2C,'7' + Missing ACK/NAK
4.029493500000000,I2C,Setup Write to ['184'] + NAK
4.030171500000000,I2C,Setup Write to ['184'] + NAK
9.032261500000001,I2C,Setup Write to ['184'] + NAK
9.032896500000000,I2C,Setup Write to ['184'] + NAK
14.034366000000000,I2C,Setup Write to ['184'] + NAK
14.035027500000000,I2C,Setup Write to ['184'] + NAK
