Time [s], Analyzer Name, Decoded Protocol Result
0.576751000000000,I2C,Setup Write to ['184'] + NAK
0.587069000000000,I2C,Setup Write to ['184'] + NAK
4.990793500000000,I2C,Setup Write to ['184'] + NAK
5.001168000000000,I2C,Setup Write to ['184'] + ACK
5.001350000000000,I2C,'3' + ACK
5.001519500000000,I2C,'0' + ACK
5.001688500000000,I2C,'4' + ACK
5.003950500000000,I2C,Setup Read to ['185'] + ACK
5.004142500000000,I2C,'3' + ACK
5.004314500000000,I2C,'4' + ACK
5.004486000000000,I2C,'2' + ACK
5.004658000000000,I2C,'7' + ACK
5.004829500000000,I2C,'1' + ACK
5.005004500000000,I2C,'23' + ACK
5.005176500000000,I2C,'0' + ACK
5.005352500000000,I2C,'15' + NAK
9.996322500000000,I2C,Setup Write to ['184'] + NAK
10.006685500000000,I2C,Setup Write to ['184'] + ACK
10.006864000000000,I2C,'3' + ACK
10.007033500000000,I2C,'0' + ACK
10.007202500000000,I2C,'4' + ACK
10.009456500000001,I2C,Setup Read to ['185'] + ACK
10.009648500000001,I2C,'3' + ACK
10.009820500000000,I2C,'4' + ACK
10.009992000000000,I2C,'2' + ACK
10.010164000000000,I2C,'6' + ACK
10.010335500000000,I2C,'1' + ACK
10.010507499999999,I2C,'22' + ACK
10.010679000000000,I2C,'144' + ACK
10.010854999999999,I2C,'15' + NAK
