Time [s], Analyzer Name, Decoded Protocol Result
0.476199500000000,I2C,Setup Write to ['184'] + NAK
0.486634500000000,I2C,Setup Write to ['184'] + ACK
0.486816500000000,I2C,'3' + ACK
0.486986000000000,I2C,'0' + ACK
0.487155000000000,I2C,'4' + ACK
0.489421500000000,I2C,Setup Read to ['185'] + ACK
0.489614000000000,I2C,'3' + ACK
0.489785500000000,I2C,'4' + ACK
0.489957500000000,I2C,'2' + ACK
0.490129000000000,I2C,'18' + ACK
0.490301000000000,I2C,'1' + ACK
0.490472500000000,I2C,'21' + ACK
0.490644500000000,I2C,'144' + ACK
0.490820500000000,I2C,\n + NAK
3.497855000000000,I2C,Setup Write to ['184'] + NAK
3.508230000000000,I2C,Setup Write to ['184'] + ACK
3.508412500000000,I2C,'3' + ACK
3.508582000000000,I2C,'0' + ACK
3.508751500000000,I2C,'4' + ACK
3.511003500000000,I2C,Setup Read to ['185'] + ACK
3.511196500000000,I2C,'3' + ACK
3.511368000000000,I2C,'4' + ACK
3.511540000000000,I2C,'2' + ACK
3.511711500000000,I2C,'21' + ACK
3.511883500000000,I2C,'1' + ACK
3.512055000000000,I2C,'21' + ACK
3.512227000000000,I2C,! + ACK
3.512403000000000,I2C,'203' + NAK
8.504118000000000,I2C,Setup Write to ['184'] + NAK
8.514480000000001,I2C,Setup Write to ['184'] + ACK
8.514658000000001,I2C,'3' + ACK
8.514827500000001,I2C,'0' + ACK
8.514996500000001,I2C,'4' + ACK
8.517246500000001,I2C,Setup Read to ['185'] + ACK
8.517439000000000,I2C,'3' + ACK
8.517610500000000,I2C,'4' + ACK
8.517782499999999,I2C,'2' + ACK
8.517954000000000,I2C,'26' + ACK
8.518126000000001,I2C,'1' + ACK
8.518297499999999,I2C,'21' + ACK
8.518469500000000,I2C,'17' + ACK
8.518645500000000,I2C,'200' + NAK
13.499940499999999,I2C,Setup Write to ['184'] + NAK
13.510306000000000,I2C,Setup Write to ['184'] + ACK
13.510484000000000,I2C,'3' + ACK
13.510653500000000,I2C,'0' + ACK
13.510822500000000,I2C,'4' + ACK
13.513076500000000,I2C,Setup Read to ['185'] + ACK
13.513268999999999,I2C,'3' + ACK
13.513440500000000,I2C,'4' + ACK
13.513612500000001,I2C,'2' + ACK
13.513783999999999,I2C,'27' + ACK
13.513956000000000,I2C,'1' + ACK
13.514127500000001,I2C,'21' + ACK
13.514299500000000,I2C,@ + ACK
13.514475500000000,I2C,'8' + NAK
