Time [s], Analyzer Name, Decoded Protocol Result
0.688092000000000,I2C,Setup Write to ['184'] + NAK
0.693890500000000,I2C,Setup Write to ['184'] + ACK
0.694068000000000,I2C,'3' + ACK
0.694235000000000,I2C,'0' + ACK
0.694402500000000,I2C,'4' + ACK
0.696684000000000,I2C,Setup Read to ['185'] + ACK
0.696874500000000,I2C,'3' + ACK
0.697046000000000,I2C,'4' + ACK
0.697217500000000,I2C,'2' + ACK
0.697389000000000,I2C,K + ACK
0.697560500000000,I2C,'0' + ACK
0.697732000000000,I2C,'243' + ACK
0.697903500000000,I2C,'192' + ACK
0.698079000000000,I2C,'3' + NAK
0.699370500000000,I2C,Setup Write to ['184'] + ACK
0.699552000000000,I2C,'0' + ACK
0.699794000000000,I2C,Setup Write to ['184'] + ACK
0.700285500000000,I2C,'7' + Missing ACK/NAK
3.255222500000000,I2C,Setup Write to ['184'] + NAK
3.255955500000000,I2C,Setup Write to ['184'] + ACK
3.256132500000000,I2C,'3' + ACK
3.256299500000000,I2C,'0' + ACK
3.256466500000000,I2C,'4' + ACK
3.258713500000000,I2C,Setup Read to ['185'] + ACK
3.258904500000000,I2C,'3' + ACK
3.259075500000000,I2C,'4' + ACK
3.259247000000000,I2C,'2' + ACK
3.259418500000000,I2C,L + ACK
3.259590000000000,I2C,'0' + ACK
3.259761500000000,I2C,'243' + ACK
3.259933000000000,I2C,q + ACK
3.260108500000000,I2C,'194' + NAK
8.257467500000001,I2C,Setup Write to ['184'] + NAK
8.258235000000001,I2C,Setup Write to ['184'] + ACK
8.258412000000000,I2C,'3' + ACK
8.258579500000000,I2C,'0' + ACK
8.258746500000001,I2C,'4' + ACK
8.261014500000000,I2C,Setup Read to ['185'] + ACK
8.261205000000000,I2C,'3' + ACK
8.261376500000001,I2C,'4' + ACK
8.261547999999999,I2C,'2' + ACK
8.261719500000000,I2C,M + ACK
8.261891000000000,I2C,'0' + ACK
8.262062500000001,I2C,'244' + ACK
8.262233999999999,I2C,a + ACK
8.262409500000000,I2C,'192' + NAK
13.262811500000000,I2C,Setup Write to ['184'] + NAK
13.263566000000001,I2C,Setup Write to ['184'] + ACK
13.263742499999999,I2C,'3' + ACK
13.263909999999999,I2C,'0' + ACK
13.264077000000000,I2C,'4' + ACK
13.266342500000000,I2C,Setup Read to ['185'] + ACK
13.266533000000001,I2C,'3' + ACK
13.266704499999999,I2C,'4' + ACK
13.266876000000000,I2C,'2' + ACK
13.267047500000000,I2C,N + ACK
13.267219000000001,I2C,'0' + ACK
13.267390000000001,I2C,'244' + ACK
13.267561499999999,I2C,'145' + ACK
13.267740500000000,I2C,'192' + NAK
